Starting as master.... 
Starting as slave.... 
(0.030277, 0.010092, 0.010092)
(0.168963, 0.051229, 0.051229)
(0.131911, 0.027544, 0.031880)
(0.119714, 0.039392, 0.091385)
(0.071466, 0.019530, 0.034460)
(0.283799, 0.093591, 0.130863)
(0.212708, 0.054562, 0.059733)
(0.080375, 0.020022, 0.034035)
(0.106308, 0.027431, 0.029006)
(0.091593, 0.028052, 0.041533)
(0.151815, 0.038803, 0.040529)
(0.115491, 0.036209, 0.053957)
(0.095538, 0.026171, 0.043928)
(0.072190, 0.020030, 0.051525)
(0.097354, 0.030912, 0.047388)
(0.083435, 0.021040, 0.028626)
(0.083225, 0.025024, 0.035103)
(0.182920, 0.035835, 0.046740)
(0.207118, 0.054076, 0.059757)
(0.139003, 0.031449, 0.047383)
(0.074614, 0.022840, 0.028902)
(0.181533, 0.053371, 0.123511)
(0.143211, 0.047737, 0.049227)
(0.066219, 0.019732, 0.034168)
(0.033816, 0.011272, 0.011272)
(0.139920, 0.038447, 0.053569)
(0.278786, 0.058485, 0.075133)
(0.085477, 0.026369, 0.044565)
(0.099765, 0.031576, 0.052886)
(0.098650, 0.028219, 0.065532)
(0.120989, 0.040330, 0.056004)
(0.232620, 0.051533, 0.103016)
(0.111650, 0.034041, 0.045402)
(0.077611, 0.022332, 0.025776)
(0.069899, 0.019039, 0.028413)
(0.112748, 0.026300, 0.028619)
(0.111327, 0.032420, 0.035720)
(0.361417, 0.092922, 0.093313)
(0.125454, 0.041298, 0.067057)
(0.085420, 0.022988, 0.033166)
(0.145068, 0.047894, 0.080198)
(0.109222, 0.028337, 0.045073)
(0.110171, 0.036724, 0.041099)
(0.054124, 0.018041, 0.022446)
(0.105457, 0.034128, 0.065160)
(0.291286, 0.075546, 0.092828)
(0.111522, 0.033148, 0.056677)
(0.121817, 0.036887, 0.038330)
(0.091231, 0.023406, 0.052305)
(0.097728, 0.024796, 0.028011)
(0.232039, 0.070416, 0.077718)
(0.104038, 0.030813, 0.045945)
(0.153917, 0.051306, 0.085817)
(0.147407, 0.044175, 0.068504)
(0.124044, 0.034378, 0.042225)
(0.094378, 0.024664, 0.039983)
(0.061294, 0.020431, 0.030672)
(0.315607, 0.055061, 0.093209)
(0.145373, 0.039377, 0.076318)
(0.144177, 0.032171, 0.046637)
(0.139225, 0.037496, 0.052108)
(0.140991, 0.035319, 0.052499)
(0.101979, 0.030378, 0.032020)
(0.112460, 0.030202, 0.044919)
(0.054610, 0.018203, 0.022037)
(0.150324, 0.038991, 0.071018)
(0.223036, 0.060153, 0.060362)
(0.192706, 0.050210, 0.126333)
(0.115751, 0.036710, 0.047296)
(0.122725, 0.034916, 0.067188)
(0.199910, 0.048332, 0.063785)
(0.104690, 0.030712, 0.035528)
(0.221660, 0.072731, 0.111490)
(0.211584, 0.040484, 0.054475)
(0.282602, 0.089858, 0.138845)
(0.087612, 0.027875, 0.041300)
(0.119867, 0.039956, 0.073813)
(0.191506, 0.042405, 0.053488)
(0.167839, 0.043921, 0.060484)
(0.166420, 0.046536, 0.052579)
(0.056302, 0.018216, 0.023362)
(0.094240, 0.027860, 0.044863)
(0.122985, 0.030928, 0.031415)
(0.086281, 0.022134, 0.037573)
(0.101037, 0.033679, 0.058329)
(0.262414, 0.041667, 0.057662)
(0.179154, 0.051339, 0.068492)
(0.109450, 0.032256, 0.037655)
(0.137494, 0.036934, 0.041108)
(0.137906, 0.043020, 0.046394)
(0.117586, 0.039195, 0.039195)
(0.166888, 0.035689, 0.040569)
(0.131085, 0.038199, 0.048868)
(0.391823, 0.121408, 0.123105)
(0.400978, 0.180778, 0.400299)
(0.068082, 0.021164, 0.024485)
(0.217566, 0.050193, 0.069860)
(0.140400, 0.037112, 0.051815)
(0.115899, 0.034197, 0.040167)
(0.456056, 0.128263, 0.130308)
(0.132197, 0.041172, 0.041172)
(0.086975, 0.028992, 0.037602)
(0.104309, 0.029531, 0.051599)
(0.140087, 0.039297, 0.042243)
(0.369622, 0.109716, 0.121837)
(0.361264, 0.241169, 0.244308)
(0.135763, 0.109342, 0.156253)
(0.173165, 0.099432, 0.104132)
(0.172816, 0.087961, 0.097836)
(0.190706, 0.109975, 0.109975)
(0.174099, 0.123271, 0.142889)
(0.187718, 0.149286, 0.220930)
(0.094061, 0.075973, 0.089551)
(0.334963, 0.313528, 0.317886)
(0.144343, 0.092576, 0.094465)
(0.159120, 0.116137, 0.201986)
(0.444360, 0.403000, 0.407501)
(0.144870, 0.100705, 0.146036)
(0.133048, 0.081083, 0.085162)
(0.200568, 0.111538, 0.118694)
(0.153843, 0.122055, 0.250001)
(0.337045, 0.237400, 0.270736)
(0.413279, 0.373768, 0.436823)
(0.203107, 0.096599, 0.136515)
(0.180864, 0.108364, 0.128005)
(0.192039, 0.138521, 0.140171)
(0.125103, 0.097054, 0.097054)
(0.150119, 0.094882, 0.096561)
(0.397196, 0.166411, 0.181367)
(0.125313, 0.087801, 0.095344)
(0.274797, 0.213041, 0.213041)
(0.131502, 0.091503, 0.095280)
(0.141227, 0.132554, 0.180564)
(0.220869, 0.196277, 0.285932)
(0.179333, 0.160787, 0.178112)
(0.144034, 0.105540, 0.119838)
(0.177462, 0.157922, 0.279445)
(0.269276, 0.169304, 0.229103)
(0.275404, 0.206411, 0.315150)
(0.296115, 0.224462, 0.237412)
(0.125296, 0.108787, 0.159070)
(0.167683, 0.130107, 0.168576)
(0.299623, 0.132095, 0.132095)
(0.209868, 0.108561, 0.115846)
(0.241145, 0.188620, 0.252209)
(0.178396, 0.130951, 0.141264)
(0.238827, 0.106966, 0.122109)
(0.162652, 0.117499, 0.182625)
(0.254708, 0.123017, 0.250906)
(0.122292, 0.087007, 0.104099)
(0.116684, 0.091781, 0.091781)
(0.269172, 0.140813, 0.173208)
(0.226304, 0.193005, 0.199731)
(0.239022, 0.136636, 0.220452)
(0.314876, 0.314876, 0.339076)
(0.223018, 0.157695, 0.177914)
(0.122933, 0.089800, 0.095732)
(0.127880, 0.102729, 0.154580)
(0.377396, 0.331127, 0.348952)
(0.313933, 0.255441, 0.335127)
(0.295641, 0.204877, 0.228872)
(0.256678, 0.112995, 0.156334)
(0.440054, 0.299570, 0.310948)
(0.148780, 0.098547, 0.109310)
(0.302101, 0.218950, 0.250543)
(0.268970, 0.223554, 0.224674)
(0.123706, 0.089927, 0.089927)
(0.291686, 0.159968, 0.197385)
(0.289077, 0.099537, 0.121291)
(0.227049, 0.166057, 0.199933)
(0.237244, 0.119011, 0.150869)
(0.253573, 0.202625, 0.212758)
(0.358909, 0.238214, 0.253771)
(0.178524, 0.114833, 0.135912)
(0.166387, 0.134939, 0.169220)
(0.271729, 0.133235, 0.198879)
(0.217949, 0.141260, 0.141849)
(0.158291, 0.121100, 0.189239)
(0.227441, 0.147717, 0.180463)
(0.144833, 0.140163, 0.246265)
(0.145600, 0.112537, 0.136110)
(0.352911, 0.200027, 0.330130)
(0.229529, 0.161047, 0.164390)
(0.169343, 0.120543, 0.156742)
(0.163197, 0.139440, 0.230039)
(0.276993, 0.141291, 0.141291)
(0.238682, 0.212999, 0.235301)
(0.233904, 0.193816, 0.206403)
(0.121735, 0.118162, 0.170813)
(0.233245, 0.158727, 0.172796)
(0.163011, 0.131742, 0.159978)
(0.121278, 0.109075, 0.126668)
(0.307696, 0.293050, 0.306121)
(0.211519, 0.112158, 0.131938)
(0.204710, 0.123571, 0.133952)
(0.212334, 0.146737, 0.151022)
(0.207652, 0.151598, 0.216500)
(0.146217, 0.123622, 0.130906)
(0.144217, 0.115529, 0.116573)
(0.256752, 0.177779, 0.177779)
(0.183955, 0.116750, 0.141717)
(0.182324, 0.110432, 0.117580)
(0.222506, 0.146302, 0.153399)
(0.244681, 0.160652, 0.187563)
(0.387180, 0.382519, 0.427650)
(0.288583, 0.245557, 0.293246)
(0.169080, 0.118639, 0.137543)
(0.207734, 0.196496, 0.212979)
(0.378504, 0.244267, 0.305303)
(0.329448, 0.168527, 0.170711)
(0.274315, 0.142997, 0.150837)
(0.217411, 0.112419, 0.129090)
(0.143428, 0.141573, 0.247329)
(0.152434, 0.110240, 0.187899)
(0.287230, 0.276041, 0.370257)
(0.357030, 0.248550, 0.249291)
(0.186668, 0.122775, 0.122775)
(0.471782, 0.350698, 0.392527)
(0.143214, 0.117591, 0.122180)
(0.348605, 0.328548, 0.328548)
(0.192662, 0.170071, 0.170831)
(0.390199, 0.369576, 0.479613)
(0.179142, 0.140340, 0.152834)
(0.193433, 0.131913, 0.143586)
(0.198233, 0.119412, 0.123117)
(0.208496, 0.124778, 0.125816)
(0.130012, 0.108945, 0.110889)
(0.161863, 0.120555, 0.129057)
(0.178158, 0.139139, 0.197223)
(0.258428, 0.153468, 0.258940)
(0.177136, 0.109659, 0.141822)
(0.174078, 0.117029, 0.136097)
(0.151521, 0.110435, 0.154554)
(0.160374, 0.114084, 0.114325)
(0.215934, 0.178076, 0.178076)
(0.437327, 0.203278, 0.300909)
(0.483514, 0.402646, 0.439250)
(0.337810, 0.207241, 0.214047)
(0.212809, 0.145113, 0.159800)
(0.413402, 0.230693, 0.242476)
(0.208283, 0.139500, 0.242024)
(0.175894, 0.109561, 0.118910)
(0.169144, 0.127965, 0.182049)
(0.167536, 0.162413, 0.213990)
(0.372522, 0.202664, 0.203099)
(0.219922, 0.163787, 0.186236)
(0.109036, 0.097256, 0.126265)
(0.106251, 0.099272, 0.104610)
(0.272843, 0.156769, 0.168745)
(0.314719, 0.230890, 0.308406)
(0.288084, 0.191577, 0.271723)
(0.266652, 0.144562, 0.153549)
(0.191183, 0.126520, 0.163191)
(0.248184, 0.189837, 0.192076)
(0.170815, 0.113204, 0.118043)
(0.235899, 0.172330, 0.200501)
(0.263391, 0.148886, 0.157410)
(0.116983, 0.114460, 0.150745)
(0.114126, 0.114126, 0.114126)
(0.208351, 0.143887, 0.159406)
(0.346363, 0.333070, 0.371223)
(0.295324, 0.214884, 0.219943)
(0.121468, 0.102364, 0.118225)
(0.141501, 0.123491, 0.128502)
(0.161259, 0.126826, 0.164059)
(0.305777, 0.140823, 0.140823)
(0.234221, 0.162129, 0.263090)
(0.284177, 0.173654, 0.173654)
(0.161333, 0.141209, 0.162029)
(0.176315, 0.126562, 0.145175)
(0.207970, 0.130141, 0.207129)
(0.373380, 0.239900, 0.282242)
(0.195141, 0.168132, 0.247363)
(0.334245, 0.249499, 0.271836)
(0.268283, 0.159998, 0.223470)
(0.239847, 0.183071, 0.185027)
(0.252619, 0.187167, 0.218682)
(0.212473, 0.129148, 0.146526)
(0.318758, 0.238431, 0.308454)
(0.237651, 0.202913, 0.227086)
(0.167067, 0.119399, 0.123007)
(0.256798, 0.159322, 0.221676)
(0.218878, 0.141272, 0.173409)
(0.194000, 0.135482, 0.186677)
(0.242457, 0.203157, 0.210419)
(0.208123, 0.176912, 0.316550)
(0.262031, 0.150189, 0.167738)
(0.199637, 0.194745, 0.224942)
(0.197498, 0.140653, 0.166736)
(0.143444, 0.132251, 0.169565)
(0.285394, 0.159137, 0.170163)
(0.358689, 0.191269, 0.231075)
(0.399408, 0.343616, 0.370409)
(0.412295, 0.344397, 0.449363)
(0.399885, 0.217874, 0.242326)
(0.435734, 0.276888, 0.310147)
(0.340915, 0.175430, 0.183292)
(0.174637, 0.155909, 0.190904)
(0.126318, 0.102018, 0.105862)
(0.369054, 0.250010, 0.254309)
(0.214711, 0.194648, 0.275292)
(0.171315, 0.162551, 0.190548)
